,Year,Title,Score
0,2015,NFL Week 1,92.91
1,2015,NFL Week 10,82.75
2,2015,NFL Week 11,81.11
3,2015,NFL Week 12,84.53999999999999
4,2015,NFL Week 13,102.29
5,2015,NFL Week 2,90.2
6,2015,NFL Week 3,107.33
7,2015,NFL Week 4,77.65
8,2015,NFL Week 5,91.99000000000001
9,2015,NFL Week 6,99.99000000000001
10,2015,NFL Week 7,88.78999999999999
11,2015,NFL Week 8,93.2
12,2015,NFL Week 9,109.3
13,2015,Playoff Round 1 (NFL Week 14 - NFL Week 15),191.54000000000002
14,2015,Playoff Round 2 (NFL Week 16 - NFL Week 17),193.18
15,2016,NFL Week 1,96.71000000000001
16,2016,NFL Week 10,93.33
17,2016,NFL Week 11,86.25
18,2016,NFL Week 12,92.47999999999999
19,2016,NFL Week 13,95.24
20,2016,NFL Week 2,93.94
21,2016,NFL Week 3,91.19
22,2016,NFL Week 4,87.76
23,2016,NFL Week 5,108.38
24,2016,NFL Week 6,96.06
25,2016,NFL Week 7,96.74000000000001
26,2016,NFL Week 8,95.44
27,2016,NFL Week 9,92.7
28,2016,Playoff Round 1 (NFL Week 14 - NFL Week 15),166.25
29,2016,Playoff Round 2 (NFL Week 16 - NFL Week 17),180.17000000000002
30,2017,NFL Week 1,83.75
31,2017,NFL Week 10,92.87
32,2017,NFL Week 11,98.65
33,2017,NFL Week 12,88.12
34,2017,NFL Week 13,89.75
35,2017,NFL Week 2,89.61
36,2017,NFL Week 3,99.05000000000001
37,2017,NFL Week 4,90.84
38,2017,NFL Week 5,82.25
39,2017,NFL Week 6,89.64
40,2017,NFL Week 7,91.4
41,2017,NFL Week 8,94.44
42,2017,NFL Week 9,81.71000000000001
43,2017,Playoff Round 1 (NFL Week 14 - NFL Week 15),185.73
44,2017,Playoff Round 2 (NFL Week 16 - NFL Week 17),163.76
45,2018,NFL Week 1,99.37
46,2018,NFL Week 10,104.93
47,2018,NFL Week 11,107.81
48,2018,NFL Week 12,109.83
49,2018,NFL Week 13,88.42
50,2018,NFL Week 2,96.62
51,2018,NFL Week 3,90.59
52,2018,NFL Week 4,108.18
53,2018,NFL Week 5,90.61
54,2018,NFL Week 6,97.82
55,2018,NFL Week 7,98.21000000000001
56,2018,NFL Week 8,104.92
57,2018,NFL Week 9,98.74000000000001
58,2018,Playoff Round 1 (NFL Week 14),75.77000000000001
59,2018,Playoff Round 2 (NFL Week 15),72.36000000000001
60,2018,Playoff Round 3 (NFL Week 16),94.36
61,2019,NFL Week 1,91.62
62,2019,NFL Week 10,98.06
63,2019,NFL Week 11,86.88
64,2019,NFL Week 12,98.25999999999999
65,2019,NFL Week 13,86.81
66,2019,NFL Week 2,88.69
67,2019,NFL Week 3,95.87
68,2019,NFL Week 4,85.22999999999999
69,2019,NFL Week 5,109.9
70,2019,NFL Week 6,100.25
71,2019,NFL Week 7,86.03999999999999
72,2019,NFL Week 8,98.68
73,2019,NFL Week 9,92.0
74,2019,Playoff Round 1 (NFL Week 14),104.05
75,2019,Playoff Round 2 (NFL Week 15),99.38
76,2019,Playoff Round 3 (NFL Week 16),94.55
77,2020,NFL Week 1,98.39
78,2020,NFL Week 10,92.56
79,2020,NFL Week 11,95.09
80,2020,NFL Week 12,100.49
81,2020,NFL Week 13,98.16
82,2020,NFL Week 2,103.45
83,2020,NFL Week 3,117.93
84,2020,NFL Week 4,102.42
85,2020,NFL Week 5,101.84
86,2020,NFL Week 6,86.47999999999999
87,2020,NFL Week 7,93.92
88,2020,NFL Week 8,86.0
89,2020,NFL Week 9,88.5
